cityName,urbanStatus,stateCode,stateName,districtCode,districtName
Hussainabad,N.A.,20,Jharkhand,2,Palamu
Hussainpur,C.T.,3,Punjab,3,Kapurthala
Hyderabad,N.P.,9,Uttar Pradesh,26,Unnao
Hyderabad M.Corp,M.Corp.,28,Andhra Pradesh,5 & 6,Hyderabad and Rangareddi
Ibrahimpur,C.T.,9,Uttar Pradesh,61,Azamgarh
Ichalkaranji,M.Cl.,27,Maharashtra,34,Kolhapur
Ichchapuram,M,28,Andhra Pradesh,11,Srikakulam
Ichchhapor,C.T.,24,Gujarat,22,Surat
Ichhapur Defence  Estate,C.T.,19,West Bengal,11,North Twentyfour Parganas
Ichhawar,N.P.,23,Madhya Pradesh,33,Sehore
Idar,M,24,Gujarat,5,Sabar Kantha
Idikarai,T.P.,33,Tamil Nadu,12,Coimbatore
Idukki Township,T.S.,32,Kerala,9,Idukki
Igatpuri,M.Cl.,27,Maharashtra,20,Nashik
Iglas,N.P.,9,Uttar Pradesh,12,Aligarh
Ikauna,N.P.,9,Uttar Pradesh,51,Shrawasti
Iklehra,C.T.,23,Madhya Pradesh,43,Chhindwara
Ilampillai,T.P.,33,Tamil Nadu,8,Salem
Ilanji,T.P.,33,Tamil Nadu,29,Tirunelveli
Ilkal,T.M.C,29,Karnataka,2,Bagalkot
Iltifatganj Bazar,N.P.,9,Uttar Pradesh,48,Ambedaker Nagar
Iluppaiyurani,T.P.,33,Tamil Nadu,28,Toothukudi
Iluppur,T.P.,33,Tamil Nadu,22,Pudukkottai
Imphal,M.Cl.,14,Manipur,6 & 7,Imphal West & Imphal East
Inam Karur,T.P.,33,Tamil Nadu,14,Kapur
Indapur,M.Cl.,27,Maharashtra,25,Pune
Indergarh,N.P.,23,Madhya Pradesh,5,Datia
Indi,T.M.C,29,Karnataka,3,Bijapur
"Indian Telephone Industry, Mankapur (Sp. Village)",C.T.,9,Uttar Pradesh,53,Gonda
Indore,M.Corp.,23,Madhya Pradesh,26,Indore
Indragarh,M,8,Rajasthan,23,Bundi
Indranagar,C.T.,16,Tripura,1,West Tripura 
Indri,M.C.,6,Haryana,6,Karnal
Injambakkam,C.T.,33,Tamil Nadu,3,Kancheepuram
Iringaprom,C.T.,32,Kerala,7,Thrissur
Irinjalakuda,M,32,Kerala,7,Thrissur
Iriveri,C.T.,32,Kerala,2,Kannur
Irugur,T.P.,33,Tamil Nadu,12,Coimbatore
