cityName,urbanStatus,stateCode,stateName,districtCode,districtName
1 SGM,C.T.,8,Rajasthan,1,Ganganagar
3 STR,C.T.,8,Rajasthan,1,Ganganagar
A.Thirumuruganpoondi,T.P.,33,Tamil Nadu,12,Coimbatore
A.Vellalapatti,T.P.,33,Tamil Nadu,24,Madurai
Aadityana,C.T.,24,Gujarat,11,Porbandar
Aambaliyasan,C.T.,24,Gujarat,4,Mahesana
Aantaliya,C.T.,24,Gujarat,24,Navsari
Aarambhada,C.T.,24,Gujarat,10,Jamnagar
Abhayapuri,T.C.,18,Assam,4,Bongaigaon
Abiramam,T.P.,33,Tamil Nadu,27,Ramanathapuram
Abohar,M.Cl.,3,Punjab,11,Firozpur
Abrama,C.T.,24,Gujarat,25,Valsad
Abu Road,M,8,Rajasthan,19,Sirohi
Achabal,N.A.C.,1,Jammu & Kashmir,6,Anantnag
Achalpur,M.Cl.,27,Maharashtra,7,Amravati
Achampudur,T.P.,33,Tamil Nadu,29,Tirunelveli
Acharapakkam,T.P.,33,Tamil Nadu,3,Kancheepuram
Acharipallam,T.P.,33,Tamil Nadu,30,Kanniyakumari
Achhalda,N.P.,9,Uttar Pradesh,32,Auraiya
Achhnera,M.B.,9,Uttar Pradesh,15,Agra
Achipatti,C.T.,33,Tamil Nadu,12,Coimbatore
Adalaj,C.T.,24,Gujarat,6,Gandhinagar
Adampur,M.Cl.,3,Punjab,4,Jalandhar
Adari,N.P.,9,Uttar Pradesh,62,Mau
Adikaratti,T.P.,33,Tamil Nadu,11,The Nilgiris
Adilabad,M,28,Andhra Pradesh,1,Adilabad
Adiramapattinam,T.P.,33,Tamil Nadu,21,Thanjavur
Adityapatna,C.T.,29,Karnataka,18,Tumkur
Adityapur,N.A.,20,Jharkhand,17,Pashchimi Singhbhum
Adoni,M,28,Andhra Pradesh,21,Kurnool
Adoor,M,32,Kerala,12,Pathanamthitta
Adra,C.T.,19,West Bengal,14,Puruliya
Aduthurai alias Maruthuvakudi,T.P.,33,Tamil Nadu,21,Thanjavur
Adyar,C.T.,29,Karnataka,24,Dakshina Kannada
Afzalgarh,M.B.,9,Uttar Pradesh,3,Bijnor
Afzalpur,T.P.,29,Karnataka,4,Gulbarga
Agar,M,23,Madhya Pradesh,22,Shajapur
Agaram,T.P.,33,Tamil Nadu,13,Dindigul
Agartala,M.Cl.,16,Tripura,1,West Tripura 
Agarwal Mandi,N.P.,9,Uttar Pradesh,8,Baghpat
Agastheeswaram,T.P.,33,Tamil Nadu,30,Kanniyakumari
Agra,M.Corp.,9,Uttar Pradesh,15,Agra
Agra,C.B.,9,Uttar Pradesh,15,Agra
Ahiwara,N.P.,22,Chhattisgarh,10,Durg
Ahmadnagar,M.Cl.,27,Maharashtra,26,Ahmadnagar
Ahmadnagar,C.B.,27,Maharashtra,26,Ahmadnagar
Ahmadpur,C.T.,19,West Bengal,8,Birbhum
Ahmadpur,M.Cl.,27,Maharashtra,28,Latur
Ahmedabad,M.Corp.,24,Gujarat,7,Ahmadabad
Ahmedabad Cantonment,C.B.,24,Gujarat,7,Ahmadabad
Ahmedgarh,M.Cl.,3,Punjab,16,Sangrur
Ahraura,M.B.,9,Uttar Pradesh,69,Mirzapur
Aiho,C.T.,19,West Bengal,6,Maldah 
Ailum,N.P.,9,Uttar Pradesh,2,Muzaffarnagar
Air Force Area,C.T.,9,Uttar Pradesh,58,Gorakhpur
Aistala,C.T.,19,West Bengal,10,Nadia 
Aizawl,N.T.,15,Mizoram,3,Aizawl
Ajaigarh,N.P.,23,Madhya Pradesh,10,Panna
Ajhuwa,N.P.,9,Uttar Pradesh,44,Kaushambi
Ajmer,M.Cl.,8,Rajasthan,21,Ajmer
Ajnala,N.P.,3,Punjab,2,Amritsar
Ajra,C.T.,27,Maharashtra,34,Kolhapur
Akalgarh,C.T.,3,Punjab,9,Ludhiana
Akaltara,N.P.,22,Chhattisgarh,6,Janjgir-Champa
Akathiyoor,C.T.,32,Kerala,7,Thrissur
Akbarpur,N.P.,9,Uttar Pradesh,33,Kanpur Dehat
Akbarpur,M.B.,9,Uttar Pradesh,48,Ambedaker Nagar
Akhnoor,N.A.C.,1,Jammu & Kashmir,13,Jammu
Akkalkot,M.Cl.,27,Maharashtra,30,Solapur
Akkarampalle,C.T.,28,Andhra Pradesh,23,Chittoor
Akkayapalle,C.T.,28,Andhra Pradesh,20,Cuddapah
Aklera,M,8,Rajasthan,32,Jhalawar
Akoda,N.P.,23,Madhya Pradesh,3,Bhind
Akodia,N.P.,23,Madhya Pradesh,22,Shajapur
Akola,M.Cl.,27,Maharashtra,5,Akola
Akot,M.Cl.,27,Maharashtra,5,Akola
Alagappapuram,T.P.,33,Tamil Nadu,30,Kanniyakumari
Alampalayam,T.P.,33,Tamil Nadu,9,Namakkal
Alampur,N.P.,23,Madhya Pradesh,3,Bhind
Aland,T.M.C,29,Karnataka,4,Gulbarga
Alandi,M.Cl.,27,Maharashtra,25,Pune
Alandur,M,33,Tamil Nadu,3,Kancheepuram
Alang,C.T.,24,Gujarat,14,Bhavnagar
Alanganallur,T.P.,33,Tamil Nadu,24,Madurai
Alangayam,T.P.,33,Tamil Nadu,4,Vellore
Alangudi,T.P.,33,Tamil Nadu,22,Pudukkottai
Alangulam,T.P.,33,Tamil Nadu,26,Virudhunagar
Alangulam,T.P.,33,Tamil Nadu,29,Tirunelveli
Alanthurai,T.P.,33,Tamil Nadu,12,Coimbatore
Alapakkam,C.T.,33,Tamil Nadu,3,Kancheepuram
Alappuzha,M,32,Kerala,11,Alappuzha
Alawalpur,M.Cl.,3,Punjab,4,Jalandhar
Aldona,C.T.,30,Goa,1,North Goa 
Ali Pur,C.T.,7,Delhi *,1,North West
Alibag,M.Cl.,27,Maharashtra,24,Raigarh
Aliganj,M.B.,9,Uttar Pradesh,17,Etah
Aligarh,M.Corp.,9,Uttar Pradesh,12,Aligarh
Alipurduar,M,19,West Bengal,2,Jalpaiguri 
Alipurduar Rly.Jnc.,C.T.,19,West Bengal,2,Jalpaiguri 
Alirajpur,M,23,Madhya Pradesh,24,Jhabua
Allahabad,M.Corp.,9,Uttar Pradesh,45,Allahabad 
Allahabad,C.B.,9,Uttar Pradesh,45,Allahabad 
Allahganj,N.P.,9,Uttar Pradesh,22,Shahjahanpur
Allapur,N.P.,9,Uttar Pradesh,19,Budaun
Allapuram,T.P,33,Tamil Nadu,4,Vellore
Almora,M.B.,5,Uttaranchal,9,Almora
Almora,C.B.,5,Uttaranchal,9,Almora
Alnavar,T.P.,29,Karnataka,9,Dharwad
Along,C.T.,12,Arunachal Pradesh,7,West Siang
Alot,N.P.,23,Madhya Pradesh,20,Ratlam
Alpur,C.T.,19,West Bengal,16,Haora 
Alur,T.P.,29,Karnataka,23,Hassan
Alur,T.P.,33,Tamil Nadu,30,Kanniyakumari
Aluva,M,32,Kerala,8,Ernakulam
Alwal,M,28,Andhra Pradesh,6,Rangareddi
Alwar,M.Cl.,8,Rajasthan,6,Alwar
Alwarkurichi,T.P.,33,Tamil Nadu,29,Tirunelveli
Alwarthirunagiri,T.P.,33,Tamil Nadu,28,Toothukudi
Amadalavalasa,N.P.,28,Andhra Pradesh,11,Srikakulam
Amalapuram,M,28,Andhra Pradesh,14,East Godavari
Amalner,M.Cl.,27,Maharashtra,3,Jalgaon
Amanganj,N.P.,23,Madhya Pradesh,10,Panna
Amanpur,N.P.,9,Uttar Pradesh,17,Etah
Amarkantak,N.P.,23,Madhya Pradesh,16,Shahdol
Amarpatan,N.P.,23,Madhya Pradesh,13,Satna
Amarpur,N.P.,16,Tripura,2,South Tripura 
Amarpur,N.A.,10,Bihar,23,Banka
Amarwara,N.P.,23,Madhya Pradesh,43,Chhindwara
Ambad,M.Cl.,27,Maharashtra,18,Jalna
Ambada,C.T.,23,Madhya Pradesh,43,Chhindwara
Ambagarh Chowki,N.P.,22,Chhattisgarh,9,Rajnandgaon
Ambah,M,23,Madhya Pradesh,2,Morena
Ambaji,C.T.,24,Gujarat,2,Banas Kantha
Ambala,M.Cl.,6,Haryana,2,Ambala
Ambala Cantt.,C.B.,6,Haryana,2,Ambala
Ambala Sadar,M.Cl.,6,Haryana,2,Ambala
Ambarnath,M.Cl.,27,Maharashtra,21,Thane
Ambasamudram,T.P.,33,Tamil Nadu,29,Tirunelveli
Ambassa,C.T.,16,Tripura,3,Dhalai
Ambattur,M,33,Tamil Nadu,1,Thiruvallur
Ambehta,N.P.,9,Uttar Pradesh,1,Saharanpur
Ambejogai,M.Cl.,27,Maharashtra,27,Bid
Ambikanagara,C.T.,29,Karnataka,10,Uttara Kannada
Ambikapur,C.T.,22,Chhattisgarh,2,Surguja
Ambikapur Part-X,C.T.,18,Assam,21,Cachar
Ambivali Tarf Wankhal,C.T.,27,Maharashtra,24,Raigarh
Ambur,M,33,Tamil Nadu,4,Vellore
Amet,M,8,Rajasthan,25,Rajsamand
Amethi,N.P.,9,Uttar Pradesh,27,Lucknow
Amethi,N.P.,9,Uttar Pradesh,49,Sultanpur
Amguri,T.C.,18,Assam,16,Sibsagar
Amila,N.P.,9,Uttar Pradesh,62,Mau
Amilo,C.T.,9,Uttar Pradesh,61,Azamgarh
Aminagar Sarai,N.P.,9,Uttar Pradesh,8,Baghpat
Aminagar Urf Bhurbaral,C.T.,9,Uttar Pradesh,7,Meerut
Amini,C.T.,31,Lakshadweep *,1,Lakshadweep
Amkula,C.T.,19,West Bengal,9,Barddhaman 
Amla,M,23,Madhya Pradesh,35,Betul
Amlabad,C.T.,20,Jharkhand,13,Bokaro
Amlai,C.T.,23,Madhya Pradesh,16,Shahdol
Amli,C.T.,26,Dadra & Nagar Haveli *,1,Dadra & Nagar Haveli
Amloh,M.Cl.,3,Punjab,8,Fatehgarh Sahib
Ammainaickanur,T.P.,33,Tamil Nadu,13,Dindigul
Ammapettai,T.P.,33,Tamil Nadu,10,Erode
Ammapettai,T.P.,33,Tamil Nadu,21,Thanjavur
Ammavarikuppam,C.T.,33,Tamil Nadu,1,Thiruvallur
Ammoor,T.P.,33,Tamil Nadu,4,Vellore
Amodghata,C.T.,19,West Bengal,12,Hugli 
Amraudha,N.P.,9,Uttar Pradesh,33,Kanpur Dehat
Amravati,M.Corp.,27,Maharashtra,7,Amravati
Amreli,M,24,Gujarat,13,Amreli
Amritsar,M.Corp.,3,Punjab,2,Amritsar
Amritsar Cantt.,C.B.,3,Punjab,2,Amritsar
Amroha,M.B.,9,Uttar Pradesh,6,Jyotiba Phule Nagar
Amtala,C.T.,19,West Bengal,18,South Twentyfour Parganas
Anaimalai,T.P.,33,Tamil Nadu,12,Coimbatore
Anaiyur,T.P.,33,Tamil Nadu,24,Madurai
Anaiyur,T.P.,33,Tamil Nadu,26,Virudhunagar
Anakapalle,M,28,Andhra Pradesh,13,Visakhapatnam
Anakaputhur,T.P,33,Tamil Nadu,3,Kancheepuram
Anand,M,24,Gujarat,15,Anand
Anand Nagar,C.T.,18,Assam,2,Dhubri
Anandapur,N.A.C.,21,Orissa,6,Kendujhar
Anandnagar,N.P.,9,Uttar Pradesh,57,Maharajganj
Anandpur Sahib,M.Cl.,3,Punjab,7,Rupnagar
Anantapur,M,28,Andhra Pradesh,22,Anantapur
Ananthapuram,T.P.,33,Tamil Nadu,7,Viluppuram
Anantnag,T.C.,1,Jammu & Kashmir,6,Anantnag
Ancharakandy,C.T.,32,Kerala,2,Kannur
Andada,C.T.,24,Gujarat,21,Bharuch
Andipalayam,C.T.,33,Tamil Nadu,12,Coimbatore
Andipatti Jakkampatti,T.P.,33,Tamil Nadu,25,Theni
Andro,N.P.,14,Manipur,7,Imphal East
Andul,C.T.,19,West Bengal,16,Haora 
Anekal,T.M.C,29,Karnataka,20,Bangalore
Angamaly,M,32,Kerala,8,Ernakulam
Angarpathar,C.T.,20,Jharkhand,12,Dhanbad
Anjad,N.P.,23,Madhya Pradesh,28,Barwani
Anjangaon,M.Cl.,27,Maharashtra,7,Amravati
Anjar,M,24,Gujarat,1,Kachchh
Anjugramam,T.P.,33,Tamil Nadu,30,Kanniyakumari
Anklav,M,24,Gujarat,15,Anand
Anklesvar,M,24,Gujarat,21,Bharuch
Anklesvar INA,I.N.A.,24,Gujarat,21,Bharuch
Ankola,T.P.,29,Karnataka,10,Uttara Kannada
Anksa,C.T.,19,West Bengal,9,Barddhaman 
Ankurhati,C.T.,19,West Bengal,16,Haora 
Annamalai Nagar,T.P.,33,Tamil Nadu,18,Cuddalore
Annavasal,T.P.,33,Tamil Nadu,22,Pudukkottai
Annigeri,T.M.C,29,Karnataka,9,Dharwad
Annur,T.P.,33,Tamil Nadu,12,Coimbatore
Anpara,C.T.,9,Uttar Pradesh,70,Sonbhadra
Antah,M,8,Rajasthan,31,Baran
Antari,N.P.,23,Madhya Pradesh,4,Gwalior
Anthiyur,T.P.,33,Tamil Nadu,10,Erode
Antu,N.P.,9,Uttar Pradesh,43,Pratapgarh
Anugul,N.A.C.,21,Orissa,15,Anugul
Anup Nagar,C.T.,19,West Bengal,7,Murshidabad 
Anupgarh,M,8,Rajasthan,1,Ganganagar
Anuppur,N.P.,23,Madhya Pradesh,16,Shahdol
Anupshahr,M.B.,9,Uttar Pradesh,11,Bulandshahr 
Aonla,M.B.,9,Uttar Pradesh,20,Bareilly
Appakudal,T.P.,33,Tamil Nadu,10,Erode
Aquem,C.T.,30,Goa,2,South Goa
Ara,C.T.,20,Jharkhand,4,Hazaribag
Arachalur,T.P.,33,Tamil Nadu,10,Erode
Arakandanallur,T.P.,33,Tamil Nadu,7,Viluppuram
Arakonam,M,33,Tamil Nadu,4,Vellore
Aralvaimozhi,T.P.,33,Tamil Nadu,30,Kanniyakumari
Arambag,M,19,West Bengal,12,Hugli 
Arang,N.P.,22,Chhattisgarh,11,Raipur
Arani,T.P,33,Tamil Nadu,1,Thiruvallur
Arani,M,33,Tamil Nadu,6,Tiruvanamalai
Aranthangi,M,33,Tamil Nadu,22,Pudukkottai
Araria,M,10,Bihar,7,Araria
Arasiramani,T.P.,33,Tamil Nadu,8,Salem
Aravakurichi,T.P.,33,Tamil Nadu,14,Kapur
Aravankad,T.S.,33,Tamil Nadu,11,The Nilgiris
Arcot,M,33,Tamil Nadu,4,Vellore
Areraj,N.A.,10,Bihar,2,Purba Champaran
Argari,C.T.,19,West Bengal,16,Haora 
Arimalam,T.P.,33,Tamil Nadu,22,Pudukkottai
Ariyalur,T.P.,33,Tamil Nadu,17,Ariyalur
Ariyappampalayam,T.P.,33,Tamil Nadu,10,Erode
Ariyur,C.T.,33,Tamil Nadu,4,Vellore
Arkalgud,T.P.,29,Karnataka,23,Hassan
Arki,N.P.,2,Himachal Pradesh,9,Solan
Armapur Estate,C.T.,9,Uttar Pradesh,34,Kanpur Nagar
Arnia,N.A.C.,1,Jammu & Kashmir,13,Jammu
Aron,N.P.,23,Madhya Pradesh,7,Guna
Arookutty,C.T.,32,Kerala,11,Alappuzha
Aroor,C.T.,32,Kerala,11,Alappuzha
Arra,C.T.,19,West Bengal,14,Puruliya
Arrah,M,10,Bihar,29,Bhojpur
Arsikere,T.M.C,29,Karnataka,23,Hassan
Arumanai,T.P.,33,Tamil Nadu,30,Kanniyakumari
Arumbavur,T.P.,33,Tamil Nadu,16,Perambalur
Arumuganeri,T.P.,33,Tamil Nadu,28,Toothukudi
Aruppukkottai,M,33,Tamil Nadu,26,Virudhunagar
Arvi,M.Cl.,27,Maharashtra,8,Wardha
Asan  Khurd,C.T.,6,Haryana,7,Panipat
Asansol,M.Corp.,19,West Bengal,9,Barddhaman 
Asarganj,C.T.,10,Bihar,24,Munger
Ashok Nagar,M,23,Madhya Pradesh,7,Guna
Ashokapuram,C.T.,33,Tamil Nadu,12,Coimbatore
Ashoknagar Kalyangarh,M,19,West Bengal,11,North Twentyfour Parganas
Ashrafpur Kichhauchha,N.P.,9,Uttar Pradesh,48,Ambedaker Nagar
Ashta,M,23,Madhya Pradesh,33,Sehore
Ashta,M.Cl.,27,Maharashtra,35,Sangli
Asifabad,C.T.,28,Andhra Pradesh,1,Adilabad
Asika,N.A.C.,21,Orissa,19,Ganjam
Asind,M,8,Rajasthan,24,Bhilwara
Asola,C.T.,7,Delhi *,9,South
Assandh,M.C.,6,Haryana,6,Karnal
Atarra,M.B.,9,Uttar Pradesh,40,Banda
Atasu,N.P.,9,Uttar Pradesh,32,Auraiya
Ateli,M.C,6,Haryana,16,Mahendragarh
Athagad,N.A.C.,21,Orissa,12,Cuttack
Athani,T.P.,33,Tamil Nadu,10,Erode
Athanur,T.P.,33,Tamil Nadu,9,Namakkal
Athimarapatti,T.P.,33,Tamil Nadu,28,Toothukudi
Athipattu,C.T.,33,Tamil Nadu,1,Thiruvallur
Athmallik,N.A.C.,21,Orissa,15,Anugul
Athni,T.M.C,29,Karnataka,1,Belgaum
Athur,T.P.,33,Tamil Nadu,28,Toothukudi
Athur,T.P.,33,Tamil Nadu,30,Kanniyakumari
Atrauli,M.B.,9,Uttar Pradesh,12,Aligarh
Atraulia,N.P.,9,Uttar Pradesh,61,Azamgarh
Attayampatti,T.P.,33,Tamil Nadu,8,Salem
Attingal,M,32,Kerala,14,Thiruvananthapuram
Attur,M,33,Tamil Nadu,8,Salem
Atul,N.M.,24,Gujarat,25,Valsad
Aurad,T.P.,29,Karnataka,5,Bidar
Auraiya,M.B.,9,Uttar Pradesh,32,Auraiya
Aurangabad,C.T.,19,West Bengal,7,Murshidabad 
Aurangabad,N.P.,9,Uttar Pradesh,11,Bulandshahr 
Aurangabad,M.Corp.,27,Maharashtra,19,Aurangabad
Aurangabad,C.T.,27,Maharashtra,19,Aurangabad
Aurangabad,M,10,Bihar,34,Aurangabad
Aurangabad Bangar,C.T.,9,Uttar Pradesh,14,Mathura
Auras,N.P.,9,Uttar Pradesh,26,Unnao
Ausa,M.Cl.,27,Maharashtra,28,Latur
Avadattur,C.T.,33,Tamil Nadu,8,Salem
Avadi,M,33,Tamil Nadu,1,Thiruvallur
Avalpoondurai,T.P.,33,Tamil Nadu,10,Erode
Avanashi,T.P.,33,Tamil Nadu,12,Coimbatore
Avaniapuram,T.P.,33,Tamil Nadu,24,Madurai
Avinissery,C.T.,32,Kerala,7,Thrissur
Awagarh,N.P.,9,Uttar Pradesh,17,Etah
Awantipora,N.A.C.,1,Jammu & Kashmir,5,Pulwama
Ayakudi,T.P.,33,Tamil Nadu,13,Dindigul
Aygudi,T.P.,33,Tamil Nadu,29,Tirunelveli
Ayodhya,M.B.,9,Uttar Pradesh,47,Faizabad
Ayothiapattinam,T.P.,33,Tamil Nadu,8,Salem
Ayyalur,T.P.,33,Tamil Nadu,13,Dindigul
Ayyampalayam,T.P.,33,Tamil Nadu,13,Dindigul
Ayyampettai,C.T.,33,Tamil Nadu,3,Kancheepuram
Ayyampettai,T.P.,33,Tamil Nadu,21,Thanjavur
Azamgarh,M.B.,9,Uttar Pradesh,61,Azamgarh
Azhagiapandiapuram,T.P.,33,Tamil Nadu,30,Kanniyakumari
Azhikode North,C.T.,32,Kerala,2,Kannur
Azhikode South,C.T.,32,Kerala,2,Kannur
Azizpur,C.T.,9,Uttar Pradesh,15,Agra
Azmatgarh,N.P.,9,Uttar Pradesh,61,Azamgarh
B. Mallapuram,T.P.,33,Tamil Nadu,5,Dharmapuri
B. Meenakshipuram,T.P.,33,Tamil Nadu,25,Theni
Babai,N.P.,23,Madhya Pradesh,37,Hoshangabad
Babar Pur,C.T.,7,Delhi *,3,North East
Babarpur Ajitmal,N.P.,9,Uttar Pradesh,32,Auraiya
Baberu,N.P.,9,Uttar Pradesh,40,Banda
Babhulgaon,C.T.,27,Maharashtra,16,Hingoli
Babina,C.B.,9,Uttar Pradesh,36,Jhansi
Babiyal,C.T.,6,Haryana,2,Ambala
Bablari Dewanganj,C.T.,19,West Bengal,10,Nadia 
Babrala,N.P.,9,Uttar Pradesh,19,Budaun
Babua Kalan,C.T.,20,Jharkhand,12,Dhanbad
Babugarh,N.P.,9,Uttar Pradesh,9,Ghaziabad
Bachhraon,M.B.,9,Uttar Pradesh,6,Jyotiba Phule Nagar
Bachhrawan,N.P.,9,Uttar Pradesh,28,Rae Bareli
Bad,C.T.,9,Uttar Pradesh,14,Mathura
Bada Malhera,N.P.,23,Madhya Pradesh,9,Chhatarpur
Badagaon,N.P.,23,Madhya Pradesh,8,Tikamgarh
Badagoan,N.P.,23,Madhya Pradesh,22,Shajapur
Badami,T.P.,29,Karnataka,2,Bagalkot
Badami Bagh,C.B.,1,Jammu & Kashmir,3,Srinagar
Badarpur,T.C.,18,Assam,22,Karimganj
Badarpur Rly Town,C.T.,18,Assam,22,Karimganj
Badarwas,N.P.,23,Madhya Pradesh,6,Shivpuri
Badawada,N.P.,23,Madhya Pradesh,20,Ratlam
Baddi,N.P.,2,Himachal Pradesh,9,Solan
Bade Bacheli,N.P.,22,Chhattisgarh,16,Dantewada
Badepalle,C.T.,28,Andhra Pradesh,7,Mahbubnagar
Badgam,N.A.C.,1,Jammu & Kashmir,4,Badgam
Badhagachhi,C.T.,19,West Bengal,12,Hugli 
Badharghat,C.T.,16,Tripura,1,West Tripura 
Badhni Kalan,N.P.,3,Punjab,10,Moga
Badi,N.P.,23,Madhya Pradesh,34,Raisen
Badkuhi,C.T.,23,Madhya Pradesh,43,Chhindwara
Badlapur,M.Cl.,27,Maharashtra,21,Thane
Badnagar,M,23,Madhya Pradesh,21,Ujjain
Badnawar,N.P.,23,Madhya Pradesh,25,Dhar
Badod,N.P.,23,Madhya Pradesh,22,Shajapur
Badoda,M,23,Madhya Pradesh,1,Sheopur
Badra,C.T.,23,Madhya Pradesh,16,Shahdol
Badrinathpuri,N.P.,5,Uttaranchal,2,Chamoli
Baduria,M,19,West Bengal,11,North Twentyfour Parganas
Bagaha,M,10,Bihar,1,Pashchim Champaran
Bagalkot,C.M.C,29,Karnataka,2,Bagalkot
Bagasara,M,24,Gujarat,13,Amreli
Bagbahara,N.P.,22,Chhattisgarh,12,Mahasamund
Bagbera,C.T.,20,Jharkhand,18,Purbi Singhbhum
Bagepalli,T.P.,29,Karnataka,19,Kolar
Bageshwar,M.B.,5,Uttaranchal,8,Bageshwar
Baggar,M,8,Rajasthan,5,Jhunjhunun
Bagh,C.T.,23,Madhya Pradesh,25,Dhar
Bagha Purana,N.P.,3,Punjab,10,Moga
Baghmara,M.B.,17,Meghalaya,3,South Garo Hills
Baghpat,M.B.,9,Uttar Pradesh,8,Baghpat
Bagli,N.P.,23,Madhya Pradesh,23,Dewas
Bagnan,C.T.,19,West Bengal,16,Haora 
Bagru,M,8,Rajasthan,12,Jaipur
Bah,M.B.,9,Uttar Pradesh,15,Agra
Bahadurganj,N.A.,10,Bihar,8,Kishanganj
Bahadurganj,N.P.,9,Uttar Pradesh,65,Ghazipur
Bahadurgarh,M.Cl.,6,Haryana,15,Jhajjar
Baharampur,M,19,West Bengal,7,Murshidabad 
Bahbari Gaon,C.T.,18,Assam,14,Tinsukia
Baheri,M.B.,9,Uttar Pradesh,20,Bareilly
Bahirgram,C.T.,19,West Bengal,15,Medinipur 
Bahjoi,M.B.,9,Uttar Pradesh,4,Moradabad
Bahraich,M.B.,9,Uttar Pradesh,50,Bahraich
Bahsuma,N.P.,9,Uttar Pradesh,7,Meerut
Bahula,C.T.,19,West Bengal,9,Barddhaman 
Bahuwa,N.P.,9,Uttar Pradesh,42,Fatehpur
Baidyabati,M,19,West Bengal,12,Hugli 
Baihar,N.P.,23,Madhya Pradesh,45,Balaghat
Baikunthpur,N.A.C.,22,Chhattisgarh,1,Koriya
Baikunthpur,N.P.,23,Madhya Pradesh,14,Rewa
Bail Hongal,T.M.C,29,Karnataka,1,Belgaum
Bairabi,C.T.,15,Mizoram,2,Kolasib
Bairatisal,C.T.,19,West Bengal,1,Darjiling 
Bairgania,N.A.,10,Bihar,4,Sitamarhi
Bajala,C.T.,29,Karnataka,24,Dakshina Kannada
Bajna,N.P.,9,Uttar Pradesh,14,Mathura
Bajpe,C.T.,29,Karnataka,24,Dakshina Kannada
Bajpur,M.B.,5,Uttaranchal,12,Udham Singh Nagar
Bajva,C.T.,24,Gujarat,19,Vadodara
Bakani,C.T.,8,Rajasthan,32,Jhalawar
Bakewar,N.P.,9,Uttar Pradesh,31,Etawah
Bakhtiarpur,N.A.,10,Bihar,28,Patna
Bakiabad,C.T.,9,Uttar Pradesh,69,Mirzapur
Bakloh,C.B.,2,Himachal Pradesh,1,Chamba
Balachaur,N.P.,3,Punjab,6,Nawanshahr
Balaghat,M,23,Madhya Pradesh,45,Balaghat
Balagoda (Bolani),C.T.,21,Orissa,6,Kendujhar
Balakrishnampatti,T.P.,33,Tamil Nadu,15,Tiruchirappalli
Balakrishnapuram,T.P.,33,Tamil Nadu,13,Dindigul
Balangir,M,21,Orissa,24,Balangir
Balapallam,T.P.,33,Tamil Nadu,30,Kanniyakumari
Balapur,M.Cl.,27,Maharashtra,5,Akola
Balaram Pota,C.T.,19,West Bengal,16,Haora 
Balarampur,C.T.,19,West Bengal,14,Puruliya
Balarampur,C.T.,19,West Bengal,18,South Twentyfour Parganas
Balasamudram,T.P.,33,Tamil Nadu,13,Dindigul
Balasinor,M,24,Gujarat,16,Kheda
Baldeo,N.P.,9,Uttar Pradesh,14,Mathura
Baldeogarh,N.P.,23,Madhya Pradesh,8,Tikamgarh
Baleshwar,M,21,Orissa,8,Baleshwar
Bali,M,8,Rajasthan,20,Pali
Baliari,C.T.,20,Jharkhand,12,Dhanbad
Balichak,C.T.,19,West Bengal,15,Medinipur 
Balimela,N.A.C.,21,Orissa,30,Malkangiri
Balkundra,C.T.,20,Jharkhand,4,Hazaribag
Ballarpur,M.Cl.,27,Maharashtra,13,Chandrapur
Ballavpur,C.T.,19,West Bengal,9,Barddhaman 
Ballia,M.B.,9,Uttar Pradesh,63,Ballia
Bally,M,19,West Bengal,16,Haora 
Bally,C.T.,19,West Bengal,16,Haora 
Balod,N.P.,22,Chhattisgarh,10,Durg
Baloda,N.P.,22,Chhattisgarh,6,Janjgir-Champa
Baloda Bazar,N.P.,22,Chhattisgarh,11,Raipur
Balotra,M,8,Rajasthan,17,Barmer
Balrampur,M.B.,9,Uttar Pradesh,52,Balrampur
Balugaon,N.A.C.,21,Orissa,17,Khordha
Balurghat,M,19,West Bengal,5,Dakshin Dinajpur
Bambolim,C.T.,30,Goa,1,North Goa 
Bamhani,N.P.,23,Madhya Pradesh,42,Mandla
Bamor,N.P.,23,Madhya Pradesh,2,Morena
Bamora,C.T.,23,Madhya Pradesh,11,Sagar
Bamun Sualkuchi,C.T.,18,Assam,6,Kamrup
Bamunari,C.T.,19,West Bengal,12,Hugli 
Banapur,N.A.C.,21,Orissa,17,Khordha
Banarhat Tea Garden,C.T.,19,West Bengal,2,Jalpaiguri 
Banarsi,C.T.,22,Chhattisgarh,11,Raipur
Banat,N.P.,9,Uttar Pradesh,2,Muzaffarnagar
Banaur,M.Cl.,3,Punjab,17,Patiala
Banbasa,C.T.,5,Uttaranchal,10,Champawat
Banda,N.P.,23,Madhya Pradesh,11,Sagar
Banda,M.B.,9,Uttar Pradesh,40,Banda
Bandarulanka,C.T.,28,Andhra Pradesh,14,East Godavari
Bandhgora,C.T.,20,Jharkhand,13,Bokaro
Bandia,C.T.,5,Uttaranchal,12,Udham Singh Nagar
Bandikui,M,8,Rajasthan,11,Dausa
Bandipore,N.A.C.,1,Jammu & Kashmir,2,Baramula
Bandora,C.T.,30,Goa,1,North Goa 
Banga,M.Cl.,3,Punjab,6,Nawanshahr
Bangalore,M.Corp.,29,Karnataka,20,Bangalore
Bangaon,M,19,West Bengal,11,North Twentyfour Parganas
Bangarapet,T.M.C,29,Karnataka,19,Kolar
Bangarmau,M.B.,9,Uttar Pradesh,26,Unnao
Bangawan,C.T.,23,Madhya Pradesh,16,Shahdol
